,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
DDX11L1,1,0,0,0,0,0,0,0,0,1,0,0,0
WASH7P,184,128,51,43,68,17,21,18,9,28,12,23,14
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,108,95,37,11,4,3,5,13,9,9,3,5,5
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,127,93,25,16,9,10,24,31,10,24,20,18,23
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,7,12,4,3,0,6,8,6,5,10,7,17,12
LINC00115,38,24,13,6,0,13,10,8,6,23,11,13,10
FAM41C,0,0,0,1,0,0,0,0,0,0,0,0,1
SAMD11,2236,1470,466,264,935,420,687,150,96,104,325,260,212
NOC2L,2376,1627,634,515,1073,807,1152,1392,776,1325,1401,1530,1204
KLHL17,662,442,265,146,53,68,106,89,55,68,64,93,56
PLEKHN1,177,132,116,56,23,28,29,88,43,87,60,81,31
HES4,292,271,399,162,57,26,32,140,48,85,119,108,89
ISG15,959,698,5801,4196,76,20,25,1626,1094,1365,3183,2831,2572
AGRN,10407,7947,4762,2788,582,1655,2487,4909,2720,4175,2809,3430,2034
RNF223,1,1,1,0,0,0,0,1,0,1,0,0,0
C1orf159,452,314,202,111,188,93,126,125,74,112,90,141,81
MIR200B,0,0,0,0,0,0,0,0,0,0,1,0,0
MIR200A,0,0,1,0,0,0,0,0,1,1,0,0,0
MIR429,2,3,1,0,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF18,1,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF4,3,0,2,2,0,0,0,0,0,0,0,0,0
SDF4,4247,2986,1446,866,1117,745,1257,1561,970,1598,1317,1552,1261
B3GALT6,865,578,245,191,288,159,193,196,86,174,208,253,261
UBE2J2,851,684,292,194,217,159,240,352,185,316,286,300,259
SCNN1D,531,315,170,86,31,12,31,19,9,11,22,34,20
ACAP3,1411,1045,364,233,156,118,198,134,85,112,105,146,117
PUSL1,314,240,99,57,157,75,71,74,46,71,70,107,37
TAS1R3,15,15,6,4,0,1,2,4,3,1,2,0,3
DVL1,1809,1218,696,384,187,373,577,975,579,966,717,916,613
MXRA8,249,248,77,35,1,0,0,0,0,0,0,0,0
AURKAIP1,2655,1700,711,521,1508,452,600,643,388,633,423,668,259
CCNL2,5355,4029,1806,1043,191,394,551,687,380,632,641,643,618
LOC148413,440,356,123,74,49,75,137,102,62,101,118,152,107
MRPL20,1374,966,409,292,769,346,502,595,353,557,746,653,861
ANKRD65,3,1,0,0,0,0,0,0,0,0,0,0,0
TMEM88B,0,0,1,0,0,0,0,0,0,0,0,0,0
VWA1,1087,777,347,218,229,131,213,111,55,110,102,132,85
ATAD3C,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD3B,70,39,10,12,33,5,5,22,6,11,6,12,8
ATAD3A,623,362,152,137,396,204,266,371,208,374,327,372,254
TMEM240,14,9,3,3,0,1,1,0,0,0,0,0,0
SSU72,2164,1629,757,420,713,535,831,1162,671,1065,1451,913,1649
MIB2,1159,739,357,171,147,84,142,109,45,128,68,130,91
MMP23B,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP23A,1,0,0,0,0,0,0,1,0,0,0,0,0
CDK11B,549,376,180,110,91,138,207,298,158,257,240,274,249
SLC35E2B,718,645,199,107,8,196,365,301,159,289,295,325,272
CDK11A,475,307,141,89,30,45,88,120,79,137,107,92,107
NADK,993,843,342,235,94,227,364,451,251,386,368,377,411
GNB1,2647,2036,1226,774,815,1825,3052,5554,2844,4751,4876,3777,5741
CALML6,46,24,18,8,4,1,2,1,0,2,2,0,2
TMEM52,11,16,2,3,1,3,3,2,2,1,2,1,4
GABRD,31,26,7,6,1,3,2,2,0,3,1,3,2
PRKCZ,240,166,75,52,153,90,132,157,87,157,224,197,271
SKI,874,665,322,137,26,232,395,315,163,282,382,352,387
MORN1,168,108,47,20,20,33,56,34,20,31,54,49,43
LOC100129534,70,83,20,8,11,11,25,8,4,9,19,16,19
RER1,2727,2029,896,563,656,558,780,1053,529,901,918,886,1075
PEX10,283,237,80,52,150,136,230,149,90,141,241,218,232
PLCH2,4,4,3,5,3,3,5,2,2,0,9,14,6
PANK4,426,281,136,76,42,97,144,157,88,154,176,181,150
HES5,0,0,0,0,0,0,0,0,0,0,1,0,0
TNFRSF14,11,16,4,7,0,0,0,2,0,1,3,3,5
FAM213B,359,324,113,57,151,147,251,138,68,113,221,245,197
MMEL1,4,5,0,0,0,0,0,0,0,1,0,2,0
TTC34,2,1,0,1,0,0,0,0,0,1,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDM16,22,12,2,3,2,4,5,23,11,16,39,26,38
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,294,219,96,83,53,44,79,98,51,71,53,36,32
MEGF6,1357,1125,584,360,17,34,58,39,23,33,32,42,27
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,348,314,113,107,175,157,249,454,212,392,330,305,381
WRAP73,582,419,177,169,75,127,155,191,113,190,210,221,171
TP73,13,4,2,3,0,1,9,2,1,3,4,1,2
TP73-AS1,524,412,143,109,35,144,209,183,103,162,220,209,195
CCDC27,0,1,0,0,0,0,0,0,0,0,0,0,0
SMIM1,38,14,25,17,7,3,6,1,4,2,3,1,0
LRRC47,787,631,229,151,169,264,428,539,197,410,417,453,391
CEP104,480,447,149,74,75,153,277,407,195,318,436,399,559
DFFB,152,113,42,30,14,22,44,50,27,36,43,46,47
C1orf174,432,377,148,88,32,97,167,232,115,170,313,254,328
AJAP1,3,1,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,308,204,53,50,21,67,102,85,49,76,110,110,91
KCNAB2,864,549,173,117,121,218,346,378,165,308,235,267,207
CHD5,9,10,3,5,4,7,9,13,9,15,21,17,18
RPL22,9852,7919,2551,2088,1581,1309,2392,2616,1391,2640,3424,3071,4029
RNF207,1472,1150,553,368,27,72,109,140,76,148,145,122,148
ICMT,1878,1718,322,246,387,819,1482,1056,554,966,1600,1359,1788
HES3,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR153,158,111,53,53,10,13,22,23,15,20,21,24,16
ACOT7,952,753,422,343,433,403,599,1246,721,1050,795,764,786
HES2,81,57,25,20,6,2,10,5,2,1,7,12,12
ESPN,18,12,3,2,2,0,0,1,0,0,0,0,0
MIR4252,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF25,116,93,81,31,5,9,6,19,8,12,11,9,2
PLEKHG5,203,172,86,65,7,26,33,74,49,81,42,59,44
NOL9,425,384,107,94,34,117,289,344,127,281,333,300,402
TAS1R1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB48,430,359,115,85,118,48,87,71,49,90,110,108,90
KLHL21,459,371,71,53,15,126,222,565,269,500,186,277,168
PHF13,332,342,121,76,22,98,156,154,81,138,148,157,161
THAP3,362,278,107,91,94,86,116,118,82,120,151,167,111
DNAJC11,408,382,127,102,327,402,579,780,401,739,851,743,952
CAMTA1,655,505,331,110,197,145,210,256,124,245,334,303,371
VAMP3,1262,1225,464,230,215,402,695,910,396,778,1229,885,1493
PER3,72,95,17,6,2,43,54,30,12,21,59,43,60
UTS2,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF9,37,34,24,14,8,11,10,397,172,402,81,72,90
PARK7,5464,3828,1537,1063,1323,944,1605,1826,944,1558,2121,1755,2460
ERRFI1,2622,3369,1456,771,31,363,821,1254,652,1087,1489,1107,1946
SLC45A1,530,324,251,162,27,31,52,16,11,17,29,29,26
RERE,1134,998,388,252,60,359,609,555,294,443,776,611,947
ENO1,46519,38273,15846,13668,20109,15595,25504,33997,18113,29004,32880,29813,32737
ENO1-AS1,4,3,1,0,2,2,0,3,2,3,1,0,2
CA6,0,0,0,2,0,0,0,0,0,0,0,0,0
SLC2A7,2,3,0,0,1,0,0,0,0,0,0,0,0
SLC2A5,2,5,8,2,1,2,2,1,0,0,1,2,0
GPR157,25,31,15,9,2,11,25,22,12,22,21,31,16
MIR34A,10,5,4,1,0,1,2,2,1,2,0,0,1
H6PD,1288,1181,390,274,118,306,600,606,321,580,545,488,441
SPSB1,712,600,333,242,125,249,409,841,497,822,761,682,741
SLC25A33,108,95,35,16,17,24,39,69,26,63,70,52,52
TMEM201,287,209,77,51,53,105,171,109,52,116,142,160,136
PIK3CD,325,236,99,80,25,81,146,344,194,308,164,147,167
CLSTN1,3244,2242,858,662,263,859,1718,2716,1519,2388,1868,1597,1970
CTNNBIP1,233,215,53,47,47,45,65,95,47,61,59,51,74
LZIC,190,179,87,32,54,102,205,243,95,221,283,265,332
NMNAT1,132,143,31,21,19,37,63,101,56,85,116,61,118
RBP7,3,6,4,1,19,6,9,11,4,15,14,15,24
UBE4B,740,692,210,122,59,282,553,603,266,503,568,469,696
KIF1B,815,772,200,170,34,308,539,1139,513,963,783,647,1002
PGD,30531,24921,10585,7771,7884,10225,18405,15498,9069,14042,20008,15559,22648
CORT,28,11,1,1,1,0,1,3,0,1,4,2,0
DFFA,513,450,131,104,106,183,332,466,240,444,513,454,687
PEX14,467,287,109,81,77,92,166,196,109,234,184,177,199
CASZ1,125,86,47,25,8,38,60,103,54,106,59,63,80
C1orf127,5,1,0,0,1,0,0,0,0,0,0,0,0
TARDBP,2116,1839,601,392,406,1160,1967,2391,1154,2295,3369,2654,4229
MASP2,55,59,22,7,0,0,0,0,0,2,1,2,0
SRM,2435,1447,736,451,742,332,532,478,234,382,691,642,627
EXOSC10,1416,1167,515,340,274,466,716,930,499,888,1407,966,1767
MTOR,1152,908,341,270,96,505,917,1208,588,1093,1182,915,1236
MTOR-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL7,0,0,0,0,0,0,0,0,0,0,0,0,0
UBIAD1,439,356,91,66,89,145,215,206,89,194,283,261,327
FBXO2,628,527,339,280,85,49,91,54,31,46,49,45,49
FBXO44,1403,1069,485,328,163,107,161,163,96,132,162,171,149
FBXO6,231,141,127,104,39,26,66,127,83,127,116,117,123
MAD2L2,653,401,226,124,441,163,211,229,134,244,243,259,255
DRAXIN,0,0,1,0,0,0,0,1,1,2,0,0,1
AGTRAP,1516,1117,676,442,709,275,450,829,577,790,484,741,357
MTHFR,616,486,130,100,32,103,198,248,150,212,165,208,155
CLCN6,508,420,170,110,27,157,230,431,216,381,312,268,328
NPPA-AS1,11,10,7,1,3,3,3,6,5,5,5,4,6
NPPA,13,14,1,5,0,0,0,0,0,0,0,0,0
NPPB,0,0,0,1,0,0,0,2,2,1,0,0,0
KIAA2013,1713,1243,432,315,350,297,453,515,308,430,538,450,540
PLOD1,4084,2843,1151,924,862,699,1294,3545,1974,3093,1519,1508,1387
MFN2,946,695,250,203,70,526,918,1244,627,1079,1199,1157,1230
MIIP,494,302,179,94,245,74,115,159,77,147,113,162,92
TNFRSF8,0,0,0,0,0,0,0,17,7,21,4,6,5
TNFRSF1B,6,4,3,3,1,3,2,46,17,28,28,29,14
MIR4632,0,0,0,0,0,0,0,0,0,0,0,0,0
VPS13D,511,481,173,103,44,263,461,432,209,347,623,412,679
SNORA59B,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA59A,0,0,0,0,0,0,0,0,0,0,0,0,0
DHRS3,3273,2561,1696,1200,1486,584,1112,1520,800,1314,1401,1161,1618
AADACL4,0,0,0,0,0,0,0,0,1,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf158,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0,1,0,0
HNRNPCL1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,1,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF22,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC38,4,0,0,1,0,0,0,9,1,3,2,4,0
PDPN,0,0,2,0,0,0,0,0,0,0,0,0,1
PRDM2,254,254,68,38,11,111,215,327,129,313,337,274,464
KAZN,58,47,18,12,6,26,31,71,38,77,64,44,73
TMEM51-AS1,18,20,13,9,3,11,14,46,26,36,28,17,24
TMEM51,632,523,225,175,78,189,278,764,431,653,725,690,773
FHAD1,24,21,5,3,0,8,13,10,6,4,6,2,11
EFHD2,1767,1336,1270,825,684,772,1063,3408,1901,3103,1534,1605,1473
CTRC,5,0,1,0,0,0,0,3,0,1,0,1,0
CELA2A,2,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,2,4,0,1,0,0,0,0,0,1,0,0,0
CASP9,369,284,98,70,22,64,149,203,114,217,198,163,200
DNAJC16,292,302,103,46,15,105,137,346,148,279,272,229,427
AGMAT,245,230,30,23,68,89,169,63,43,60,139,128,150
DDI2,4,8,3,1,1,21,42,65,40,71,82,77,107
RSC1A1,44,40,25,7,5,27,36,77,34,57,89,62,110
PLEKHM2,1060,872,342,197,305,327,511,952,493,937,583,612,532
SLC25A34,56,29,13,6,3,3,4,10,4,8,5,5,3
TMEM82,0,1,0,0,0,1,0,0,0,0,0,0,0
FBLIM1,770,597,265,182,165,187,317,470,234,423,369,359,351
UQCRHL,184,123,47,54,46,29,59,75,34,63,135,50,141
FLJ37453,110,104,32,11,17,15,35,19,20,32,40,22,32
SPEN,635,618,331,189,65,537,925,1511,751,1341,1746,1307,1862
ZBTB17,514,348,203,114,103,83,157,207,120,194,221,193,183
HSPB7,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCNKA,7,5,3,2,0,0,0,0,0,0,0,0,0
CLCNKB,3,1,1,0,0,0,0,0,0,0,1,0,1
FAM131C,183,130,74,50,73,37,72,39,29,57,80,64,65
EPHA2,3286,2410,1253,922,323,1065,1455,4183,2262,3729,3580,3439,3187
ARHGEF19,205,168,89,91,34,38,73,80,47,57,89,97,63
FBXO42,314,214,83,56,26,84,130,184,99,142,147,159,181
SZRD1,2216,1727,595,376,594,801,1407,1469,806,1338,1447,1606,1391
SPATA21,9,7,0,3,0,0,0,0,0,0,0,0,0
NECAP2,401,366,195,128,205,224,347,902,448,719,527,538,555
CROCCP3,243,154,45,30,4,26,38,22,25,40,36,33,31
MIR3675,0,0,0,0,0,0,0,0,0,0,0,0,0
NBPF1,291,316,156,51,6,291,476,521,235,462,660,677,793
CROCCP2,656,477,238,105,50,107,170,143,88,97,187,219,204
MST1P2,262,179,78,43,1,3,20,9,6,2,4,8,4
ESPNP,1,0,0,0,0,0,0,0,0,0,0,0,0
MST1L,76,41,21,7,1,1,2,3,2,2,4,4,0
CROCC,908,616,239,161,50,91,133,87,57,68,101,134,97
MFAP2,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP13A2,578,398,222,125,288,211,404,437,238,371,361,402,315
SDHB,1602,1291,423,332,515,492,721,1038,490,912,1256,991,1208
PADI2,66,99,30,25,12,28,48,10,8,8,30,18,26
PADI1,81,53,10,7,22,20,37,14,5,17,21,24,29
PADI3,60,40,39,27,15,21,52,63,22,62,54,68,46
PADI4,0,0,0,0,0,0,0,0,0,0,0,0,0
PADI6,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2,3093,2234,732,479,389,798,1367,1678,840,1482,1738,1519,1861
ARHGEF10L,895,530,184,130,27,124,215,208,146,205,146,132,134
ACTL8,2,1,0,0,3,2,3,4,0,2,5,4,1
IGSF21,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC7A,251,192,23,19,25,99,126,61,33,29,88,58,57
PAX7,185,178,52,41,2,39,72,56,38,46,64,44,64
TAS1R2,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH4A1,610,486,109,100,89,161,291,222,120,191,281,298,176
MIR4695,0,0,0,0,0,0,0,0,0,0,0,0,0
IFFO2,615,495,179,126,120,444,697,944,490,1005,1199,1092,1449
UBR4,2616,2259,1074,766,674,1467,2615,6136,2979,5147,4250,3332,4686
EMC1,869,798,286,204,163,367,701,1109,438,922,1114,850,1198
MRTO4,1511,1137,303,323,654,388,546,668,319,674,816,763,804
AKR7L,27,16,5,4,0,1,2,0,1,0,0,1,5
AKR7A3,19,20,6,2,3,2,3,1,1,0,0,1,5
LOC100506730,65,45,26,5,2,6,11,9,6,13,12,19,20
AKR7A2,912,750,225,156,410,275,303,259,122,225,323,352,290
PQLC2,470,303,144,81,109,81,118,209,110,182,131,156,94
CAPZB,3534,2634,1178,669,932,914,1518,2384,1178,2042,2089,1590,2286
MINOS1,611,482,111,106,191,89,144,247,107,180,255,182,372
NBL1,1,1,2,0,0,0,0,4,2,6,0,0,0
HTR6,3,2,2,0,1,2,0,2,0,3,4,0,2
TMCO4,303,240,75,56,41,43,106,94,59,95,118,108,117
RNF186,0,1,0,0,0,0,0,0,0,0,0,0,0
OTUD3,178,155,46,17,3,40,78,86,38,87,89,66,99
PLA2G2E,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2A,5,0,0,0,0,0,0,0,0,0,0,1,0
PLA2G5,0,0,0,0,0,0,0,0,0,1,0,0,0
PLA2G2D,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0,0,0,0,0,0
UBXN10,3,2,0,2,0,1,1,1,0,1,0,0,1
VWA5B1,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMK2N1,1309,1468,632,252,334,317,774,611,354,624,812,574,1255
MUL1,494,480,141,122,153,257,405,433,232,381,450,420,472
FAM43B,78,51,33,29,37,27,40,55,22,51,26,36,22
CDA,1164,802,490,330,214,82,146,435,234,395,215,193,168
PINK1,885,824,286,208,261,383,619,696,391,647,606,611,649
DDOST,7398,5587,1975,1488,1108,1274,2098,3210,1827,2822,2788,2838,2898
KIF17,29,24,11,5,6,7,8,10,3,5,3,11,11
SH2D5,207,147,52,37,56,63,87,181,92,157,135,135,91
HP1BP3,2980,2732,605,344,123,860,1549,1523,664,1357,1791,1361,2219
EIF4G3,1473,1328,590,349,57,550,967,1369,610,1196,1415,989,1789
ECE1,3483,2604,944,566,373,1380,2546,2855,1575,2651,2834,2711,2850
LOC100506801,37,36,12,16,2,3,3,1,1,3,12,9,9
NBPF3,134,115,50,35,3,77,140,110,52,80,171,141,199
ALPL,22,12,1,1,4,3,10,7,3,10,5,4,1
RAP1GAP,2422,1728,292,170,419,601,1221,147,78,127,413,335,437
USP48,613,798,251,144,50,204,354,589,252,482,683,469,808
LDLRAD2,11,4,3,2,0,0,0,0,0,0,0,0,0
HSPG2,756,577,260,154,329,1228,1943,2716,1445,2553,1971,2088,1621
CELA3B,0,0,0,0,0,0,0,0,0,0,0,0,0
CELA3A,0,0,0,0,0,0,1,0,0,0,1,0,0
LINC00339,358,444,139,91,61,58,141,122,61,99,152,173,173
CDC42,1842,2350,738,326,357,944,1701,2759,1150,2345,2706,2317,2860
WNT4,76,50,19,20,3,1,8,13,10,13,5,3,3
ZBTB40,883,647,241,194,47,242,418,578,319,513,589,527,634
EPHA8,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0,0,0,0,0,0,1
C1QC,0,0,1,0,0,0,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0,0,0,0,2,0,0
EPHB2,594,522,477,414,471,688,1070,3071,1563,2913,2175,1965,2114
MIR4684,0,0,1,0,0,0,0,0,0,0,0,0,0
MIR4253,0,0,0,0,0,0,0,0,0,0,0,0,0
KDM1A,1476,1144,428,352,336,572,887,1307,588,1146,1429,991,1678
MIR3115,0,0,0,0,0,0,0,0,0,0,0,0,0
LUZP1,416,392,179,117,70,412,723,1528,619,1205,1186,1122,1344
HTR1D,262,244,159,95,143,181,279,264,143,230,492,351,533
HNRNPR,2624,2397,666,402,137,1637,2821,3392,1862,3684,4533,4115,5725
ZNF436,93,108,35,16,5,64,107,173,67,141,183,139,251
TCEA3,34,14,4,6,6,2,2,5,2,6,6,8,9
ASAP3,346,267,90,54,16,43,69,86,68,60,89,60,68
E2F2,125,128,22,22,48,93,153,43,21,37,83,99,83
ID3,5015,4169,2561,1672,619,621,955,1083,659,974,958,1053,665
MDS2,2,2,2,3,0,0,0,0,0,1,0,0,1
RPL11,25092,15442,5546,4709,8976,3430,5034,7477,4225,6637,8332,6377,10370
PITHD1,287,246,67,55,92,118,208,263,125,259,326,261,380
LYPLA2,1185,923,416,308,473,276,477,715,441,715,486,582,352
GALE,1797,1207,537,426,260,279,407,729,433,662,570,642,482
HMGCL,733,565,249,149,134,99,157,214,124,186,155,155,183
FUCA1,690,551,158,119,57,82,143,213,56,124,203,148,241
CNR2,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0,0,0,0,0,0,0,0
PNRC2,135,114,29,21,13,57,98,183,89,160,186,143,160
SRSF10,433,389,164,92,33,241,402,499,232,445,714,531,882
MYOM3,232,178,49,50,45,127,255,267,126,200,262,238,255
IL22RA1,161,131,77,82,19,30,63,126,80,110,175,163,211
IFNLR1,52,64,34,22,2,23,52,93,41,93,64,63,63
LOC284632,5,0,1,0,3,1,3,0,0,0,1,0,0
GRHL3,106,44,3,3,0,3,9,0,1,0,1,6,6
STPG1,170,145,50,45,24,55,88,231,108,205,153,127,198
NIPAL3,430,346,103,78,37,99,227,316,132,273,205,152,221
RCAN3AS,6,3,3,1,0,1,2,0,1,1,0,0,1
RCAN3,245,177,72,39,32,74,135,165,76,173,223,225,285
NCMAP,24,37,4,10,4,7,19,4,1,0,8,2,12
SRRM1,758,709,218,145,65,444,815,868,479,908,1433,974,1648
CLIC4,512,500,155,86,20,373,815,1981,963,2029,1736,1286,2169
RUNX3,356,273,118,80,17,51,84,98,42,74,99,83,101
SYF2,1071,1203,389,170,113,171,346,599,304,598,590,523,812
RHD,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM50A,2475,2238,1411,628,169,480,905,1352,742,1320,1646,1470,2002
RHCE,3,2,0,0,2,0,0,0,0,0,0,0,0
LDLRAP1,450,378,158,114,104,146,262,192,96,198,241,245,240
MAN1C1,60,39,6,3,3,11,9,4,3,7,3,4,7
MTFR1L,533,441,190,94,104,135,233,301,139,261,350,290,323
LOC646471,31,33,12,8,0,1,1,0,0,0,0,0,0
AUNIP,77,54,12,4,23,44,64,55,31,47,101,94,102
PAQR7,257,216,59,33,22,40,60,27,20,30,52,40,49
STMN1,2117,1690,341,247,418,885,1389,975,350,790,2027,1370,2552
MIR3917,0,0,0,0,0,0,0,0,0,0,0,0,0
PAFAH2,480,388,101,74,19,105,193,247,120,248,260,204,312
EXTL1,9,3,1,0,0,0,0,0,0,0,0,0,0
SLC30A2,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM63,0,0,0,0,0,0,0,0,0,0,0,0,0
PDIK1L,38,68,8,1,3,26,70,66,32,60,85,71,118
FAM110D,3,1,0,0,0,0,1,0,0,0,0,0,1
ZNF593,924,639,350,178,572,123,151,156,98,109,210,186,199
CNKSR1,10,16,3,5,3,3,2,2,3,5,3,1,1
CATSPER4,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP85,465,366,134,87,19,173,324,346,161,275,373,305,383
SH3BGRL3,2443,1449,1150,592,986,275,472,1589,902,1597,946,773,1003
UBXN11,712,473,112,99,197,77,120,96,53,107,117,128,91
CD52,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF683,0,0,0,0,0,0,0,0,0,0,0,0,0
LIN28A,3,1,0,0,0,0,0,0,0,0,0,0,0
DHDDS,409,321,118,88,95,142,192,394,171,354,346,279,352
HMGN2,2309,1740,585,250,280,787,1184,734,414,721,1167,1116,1329
RPS6KA1,693,506,183,135,236,200,348,327,167,294,332,289,285
MIR1976,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID1A,925,799,288,182,63,590,918,920,495,917,1192,973,1339
PIGV,370,334,105,79,37,86,178,131,63,100,223,147,217
ZDHHC18,453,421,109,85,92,196,313,930,471,868,408,397,282
SFN,2338,1576,539,504,1107,692,1034,1813,1073,1889,1585,1591,1458
GPN2,236,194,69,45,108,96,144,187,117,162,180,165,175
GPATCH3,190,145,51,37,97,77,92,131,86,135,111,142,120
NR0B2,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDC,2866,1885,877,582,2697,865,1389,2845,1620,2859,1887,1844,2144
TRNP1,2710,2536,1177,643,604,686,1031,1145,515,1047,1730,1702,1951
SLC9A1,399,343,140,112,60,129,242,503,251,454,269,235,241
WDTC1,474,346,130,88,46,132,275,307,164,285,251,235,209
TMEM222,648,480,185,168,368,150,276,280,152,270,249,256,257
SYTL1,40,38,2,3,5,3,8,0,0,0,0,2,1
MAP3K6,577,403,188,118,95,80,147,111,87,96,114,145,100
FCN3,6,2,1,0,0,0,0,0,0,0,0,0,0
CD164L2,0,1,0,0,0,0,1,0,0,0,0,0,0
GPR3,53,38,21,4,4,7,3,27,18,18,15,13,20
WASF2,722,791,270,187,142,530,957,1909,937,1671,1284,1185,1391
AHDC1,362,264,155,79,16,76,149,162,72,170,111,114,93
FGR,0,1,0,0,0,0,0,0,0,0,0,0,0
IFI6,3372,2806,7484,4986,168,38,91,2932,1746,2268,4104,3183,6052
FAM76A,109,103,41,17,17,32,67,93,39,62,111,91,125
STX12,247,301,56,24,22,99,182,389,203,378,375,258,408
PPP1R8,374,409,83,72,53,256,381,432,208,393,608,506,769
SCARNA1,0,0,0,0,0,0,0,0,1,0,0,0,0
THEMIS2,20,15,136,77,3,8,6,192,144,180,161,134,167
RPA2,470,419,149,100,147,276,406,497,197,388,747,588,787
SMPDL3B,291,283,54,30,30,24,42,16,9,12,39,23,38
XKR8,161,133,55,46,16,47,73,94,63,92,105,74,58
EYA3,301,227,73,39,29,101,168,394,152,318,279,221,338
PTAFR,17,12,17,14,4,2,6,49,28,50,17,9,8
DNAJC8,1852,1436,632,381,437,574,951,1589,828,1366,1739,1354,2156
SESN2,302,172,31,26,32,44,83,319,143,301,108,132,69
MED18,352,246,120,77,107,72,128,135,64,119,113,113,167
