,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
MLLT10P1,9,10,2,2,0,0,0,0,0,0,0,0,1
DEFB115,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB116,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB118,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB119,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB121,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB122,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB123,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFB124,0,0,0,0,0,0,0,0,0,0,0,0,0
REM1,0,0,0,0,0,0,0,0,0,1,0,0,0
LINC00028,0,0,0,0,0,0,0,0,0,0,0,0,0
HM13,7427,5370,2984,1770,1892,1030,1699,3656,2081,3234,3194,2546,3321
HM13-AS1,23,21,11,5,1,0,2,0,0,1,0,2,3
ID1,16690,13084,8369,4418,569,475,789,1949,1130,1848,875,714,964
MIR3193,0,0,0,0,0,0,0,0,0,0,1,0,0
COX4I2,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L1,5189,4276,2175,1537,593,1288,2157,3202,1763,2895,3809,3494,3546
TPX2,1615,1373,267,219,635,1372,2228,2194,895,1818,3699,2678,4514
MYLK2,7,4,1,2,4,7,6,6,3,1,5,5,10
FOXS1,2,2,2,0,6,4,5,0,0,0,1,5,2
DUSP15,39,30,13,6,8,1,5,6,3,1,2,2,0
TTLL9,2,3,0,0,0,0,0,0,0,0,1,1,2
PDRG1,323,310,137,114,192,137,182,226,114,187,203,287,157
XKR7,0,0,0,0,0,0,0,0,0,0,0,0,0
CCM2L,3,2,1,0,1,2,8,0,0,1,2,1,2
HCK,2,5,4,1,0,0,0,3,0,0,0,1,0
TM9SF4,2121,1635,668,395,193,500,862,1516,796,1330,1263,1118,1457
TSPY26P,4,1,0,0,0,1,2,0,2,7,1,2,0
PLAGL2,367,271,125,52,53,208,368,457,227,433,564,437,583
POFUT1,1463,1240,411,255,147,607,1052,1312,651,1137,1375,1240,1387
KIF3B,972,976,284,176,178,424,731,1123,505,1000,1161,868,1453
ASXL1,1880,1647,530,352,143,584,968,1098,586,998,1176,1019,1278
C20orf203,6,0,1,0,0,0,0,0,0,0,0,0,0
COMMD7,1436,1172,550,392,392,337,531,763,381,560,727,537,711
DNMT3B,316,240,150,83,12,115,197,180,98,183,173,139,180
MAPRE1,2215,2172,528,326,251,1155,1968,3300,1451,2904,2836,2437,3105
SUN5,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFB2,0,0,3,0,0,0,0,0,0,0,0,0,0
BPIFB6,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFB3,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFB4,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFA2,3,3,2,1,1,0,0,0,0,0,0,0,0
BPIFA4P,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFA3,0,0,0,0,0,0,0,0,0,0,0,0,0
BPIFA1,2,1,0,0,0,0,0,0,0,0,0,0,1
BPIFB1,55,51,4,2,2,1,5,1,1,0,1,2,1
CDK5RAP1,1042,654,222,220,300,178,307,382,192,293,527,347,536
SNTA1,458,331,111,69,138,71,163,146,76,118,109,98,79
CBFA2T2,579,516,165,104,39,129,254,251,154,250,298,232,381
NECAB3,1052,791,309,201,134,117,129,133,90,132,103,127,80
C20orf144,11,10,9,1,0,0,0,0,0,0,0,0,0
ACTL10,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F1,785,515,134,112,262,330,464,318,188,317,379,460,293
PXMP4,360,261,68,45,69,69,109,63,36,67,64,90,64
ZNF341,228,213,77,43,26,44,89,66,50,57,105,78,98
CHMP4B,3981,3022,1448,823,469,703,1177,2157,1030,1819,1906,1509,2117
RALY,4114,2834,1324,773,1774,979,1520,1856,1136,1771,1603,1651,1560
MIR4755,0,0,1,0,0,0,0,0,0,0,0,0,0
EIF2S2,2537,2453,725,544,773,958,1387,3398,1657,3230,3044,2795,4091
ASIP,8,5,0,2,0,0,0,0,0,0,0,0,0
AHCY,6604,5691,1720,1076,1327,1861,3144,3288,1630,2941,3419,3411,3134
ITCH,393,464,125,76,42,316,661,1348,567,1230,1123,846,1511
MIR644A,0,0,0,0,0,0,0,0,0,0,0,0,0
