,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
WIPF2,282,546,386,100,264,255,224,475,1637,374,345,195
CDC6,420,958,1273,266,190,189,128,227,553,147,86,44
RARA,106,199,112,55,147,138,114,223,556,106,117,74
GJD3,109,243,76,44,26,31,44,84,98,26,33,22
TOP2A,4969,11662,14602,2814,277,287,149,360,1312,263,93,45
IGFBP4,7864,15919,7049,3345,182,200,191,309,535,161,132,78
TNS4,240,464,435,174,5920,5745,5735,11460,36788,8495,6976,3903
CCR7,23,36,28,5,3,3,0,2,2,1,1,0
SMARCE1,804,1741,2768,411,603,651,736,1383,2802,647,740,342
KRT222,7,14,19,1,0,0,0,2,0,0,2,0
KRT24,0,0,0,0,56,62,138,252,26,13,164,72
KRT25,0,0,0,0,0,0,0,0,0,0,0,0
KRT26,0,0,0,0,0,0,0,0,0,0,0,0
KRT27,0,0,1,0,0,0,0,0,0,0,1,0
KRT28,0,0,3,0,0,0,0,0,1,1,0,0
KRT10,163,381,355,89,96,106,223,420,934,194,181,76
TMEM99,78,147,83,48,69,58,108,207,372,99,119,35
KRT12,1,4,2,1,0,0,0,0,0,0,0,1
KRT20,9,8,3,1,0,0,0,0,0,0,0,1
KRT23,1,3,0,1,115,189,369,796,533,102,379,231
KRT39,0,0,0,0,0,0,0,0,0,0,0,0
KRT40,0,0,0,0,0,1,2,2,0,0,0,1
KRTAP3-3,0,0,1,0,0,0,0,0,0,0,0,0
KRTAP3-2,0,1,0,0,0,0,0,0,5,0,0,0
KRTAP3-1,0,0,1,0,0,0,0,0,0,0,1,0
KRTAP1-5,0,1,1,0,0,0,0,0,0,0,0,0
KRTAP1-4,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP1-1,0,0,0,0,0,0,0,1,0,0,0,0
KRTAP2-1,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP2-3,0,0,0,0,63,77,127,271,734,126,47,28
KRTAP2-4,0,0,0,0,0,0,1,0,0,0,0,0
KRTAP4-7,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-8,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-11,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-12,0,0,1,0,0,0,0,0,0,0,0,0
KRTAP4-6,0,0,0,0,0,2,0,0,0,0,0,0
KRTAP4-5,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-4,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-3,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-2,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP4-1,2,9,7,3,0,0,0,0,0,0,0,0
KRTAP9-1,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-2,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-8,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-9,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP29-1,0,0,1,0,0,0,0,0,0,0,0,0
KRTAP16-1,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP17-1,0,0,0,0,0,0,0,0,0,0,0,0
KRT33A,0,0,0,0,0,0,1,2,23,0,11,0
KRT33B,0,0,1,0,0,3,1,1,6,1,3,4
KRT34,1,3,1,1,13,12,15,26,55,15,37,30
KRT31,0,0,0,0,15,21,16,31,89,20,29,18
LOC100505782,0,0,0,0,0,1,0,2,2,0,2,2
KRT37,0,0,0,0,3,1,3,2,8,4,4,6
KRT38,0,0,0,0,0,0,0,0,8,0,2,2
KRT32,0,0,2,0,0,0,1,0,0,0,0,0
KRT35,0,0,0,0,0,0,0,0,2,1,1,1
KRT36,0,0,0,0,0,0,0,0,23,4,16,5
KRT13,0,0,1,3,1778,2085,5383,9060,1072,225,3718,1776
KRT15,36,63,71,14,799,873,1735,2790,2148,525,891,430
KRT19,85,150,246,72,26497,28073,42620,71511,92953,21122,24662,12756
KRT9,0,0,0,0,18,17,11,30,59,19,33,16
KRT14,0,0,0,0,34997,33307,47190,78467,116539,33462,51626,25028
KRT16,2,6,8,1,4828,5548,6532,11682,5199,1292,8624,4851
KRT17,0,1,0,1,57977,62401,73008,126955,164441,38834,85001,44822
KRT42P,0,0,0,0,15,12,12,23,31,10,46,23
EIF1,1533,2445,2492,894,2261,2450,2853,5034,13789,3302,2575,1117
GAST,0,0,1,1,0,2,1,2,2,1,0,1
HAP1,20,52,21,12,4,13,6,21,20,9,11,11
JUP,1465,2920,1834,686,8262,8130,7729,15417,34289,7735,7565,4343
FKBP10,614,1031,553,222,941,937,1075,1988,3860,925,970,530
NT5C3B,383,784,621,160,238,292,316,627,1160,257,235,102
